id,group,label,level
buf,1,Black United Front,1
ostop,1,Operation STOP,1
uleague,1,Urban League,1
panther,1,Black Panther Party,1
women,2,League of Women Voters,1
sierra,2,Sierra Club,1
bromley,3,Bromley Heath TMC,1
alice,3,Alice Taylor Public Housing Development,1
mhep,3,Mission Hill Extension Project,1
church,4,Churches,1
mit,4,MIT,1
harv,4,Harvard,1
upa,4,Urban Planning Aid,2
ccib,4,Cambridge Committee on the Inner Belt,2
socc,5,Save Our Cities Committee,2
jpec,5,Jamaica Plain Expressway Committee,2
tapc,5,Tubman Area Planning Council,2
gbc,5,Greater Boston Committee on the Transportation Crisis,2
swcldc,3,Souhwest Corridor Land Development Coalition,2
stulllee,3,Stull & Lee,2
fed,6,United States Federal Government,3
mass,6,Massachusetts Government,3
dpw,6,Department of Public Works,3
bos,6,Boston Government,3
bra,6,Boston Redevelopment Authority,3
camb,6,Cambridge Government,3
btpr,6,Boston Transportation Planning Review,3
turner,1,Chuck Turner,4
fox,1,Gloria Fox,4
durant,1,Lenny Durant,4
brown,1,Khadijah Brown,4
king,1,Mel King,4
hardwick,1,Floyd Hardwick,4
hershfang,2,Ann Hershfang,4
cooper,2,Ila Cooper,4
cole,3,Ann Mae Cole,4
hailey,3,Mildred Hailey,4
mcmanus,4,Father Paul McManus,4
corrigan,4,Father Thomas Corrigan,4
goodman,4,Robert Goodman,4
peattie,4,Lisa Peattie,4
salvucci,4,Fred Salvucci,4
altshuler,4,Alan Altshuler,4
lee,4,Tunney Lee,4
hartman,4,Chester Hartman,4
fellman,4,Gordan Fellman,4
blackett,4,Denis Blackett,4
morey,4,Jim Morey,4
ackerley,5,Bill Ackerley,4
benfield,5,Antis Benfield,4
kruckemeyer,5,Ken Kruckemeyer,4
yoneoka,5,Brad Yoneoka,4
teichner,5,Steve Teichner,4
frosenbaum,3,Femke Rosenbaum,4
prosenbaum,3,Peter Rosenbaum,4
lee,3,David Lee,4
eisenhower,6,President Dwight Eisenhower,4
nixon,6,President Richard Nixon,4
volpe,6,John Volpe,4
oneill,6,Tip O'Neill,4
brooke,6,Ed Brooke,4
sargent,6,Francis Sargent,4
kramer,6,Al Kramer,4
ribbs,6,Edward Ribbs,4
pangaro,6,Tony Pangaro,4
white,6,Kevin White,4
frank,6,Barney Frank,4
logue,6,Ed Logue,4
gray,6,Justin Gray,4
ackermann,6,Barbara Ackermann,4
wofford,6,Jack Wofford,4
ccc,6,Cambridge City Council,4
