target,source,strength
buf,turner,0.7
buf,fox,0.7
buf,durant,0.7
buf,brown,0.7
ostop,buf,0.7
ostop,turner,0.7
ostop,fox,0.7
ostop,durant,0.7
ostop,brown,0.7
uleague,buf,0.7
uleague,king,0.7
panther,buf,0.7
panther,hardwick,0.7
women,hershfang,0.7
women,cooper,0.7
sierra,gbc,0.7
bromley,alice,0.7
bromley,mhep,0.7
bromley,cole,0.7
bromley,hailey,0.7
church,mcmanus,0.7
church,corrigan,0.7
mit,goodman,0.7
mit,peattie,0.7
mit,salvucci,0.7
mit,altshuler,0.7
mit,tlee,0.7
harv,hartman,0.7
harv,mit,0.7
ccib,salvucci,0.7
ccib,tlee,0.7
ccib,fellman,0.7
ccib,hartman,0.7
ccib,blackett,0.7
ccib,goodman,0.7
upa,ccib,0.7
upa,salvucci,0.7
upa,tlee,0.7
upa,fellman,0.7
upa,hartman,0.7
upa,blackett,0.7
upa,goodman,0.7
upa,morey,0.7
socc,ackerley,0.7
socc,benfield,0.7
socc,church,0.7
jpec,morey,0.7
tapc,hershfang,0.7
tapc,kruckemeyer,0.7
gbc,morey,0.7
gbc,turner,0.7
gbc,corrigan,0.7
gbc,yoneoka,0.7
gbc,teichner,0.7
gbc,ostop,0.7
gbc,uleague,0.7
gbc,panther,0.7
gbc,women,0.7
gbc,church,0.7
gbc,upa,0.7
gbc,socc,0.7
gbc,jpec,0.7
gbc,tapc,0.7
swcldc,bromley,0.7
swcldc,alice,0.7
swcldc,mhep,0.7
swcldc,kruckemeyer,0.7
swcldc,hershfang,0.7
swcldc,frosenbaum,0.7
swcldc,prosenbaum,0.7
swcldc,stulllee,0.7
swcldc,ostop,0.7
stulllee,dlee,0.7
fed,eisenhower,0.7
fed,nixon,0.7
fed,volpe,0.7
fed,oneill,0.7
fed,brooke,0.7
mass,oneill,0.7
mass,brooke,0.7
mass,volpe,0.7
mass,sargent,0.7
mass,dpw,0.7
mass,kramer,0.7
mass,salvucci,0.7
mass,pangaro,0.7
mass,hershfang,0.7
dpw,ribbs,0.7
bos,white,0.7
bos,frank,0.7
bos,bra,0.7
bra,logue,0.7
bra,salvucci,0.7
bra,tlee,0.7
bra,blackett,0.7
camb,gray,0.7
camb,ackermann,0.7
btpr,wofford,0.7
btpr,altshuler,0.7
gray,frank,0.7
frank,kramer,0.7
kramer,gray,0.7
btpr,sargent,0.7
btpr,mass,0.7
